,Vel_0,Vel_1,Vel_2,Vel_3,Vel_4,Vel_5,Vel_6,Vel_7,Vel_8,Vel_9,Vel_10,Vel_11,Vel_12,Vel_13,Vel_14,Vel_15,Vel_16,Vel_17,Vel_18,Vel_19,Vel_20,Vel_21,Vel_22,Vel_23,Vel_24,Mean_0,Mean_5,Mean_10,Mean_15,Mean_20,Mean_25
0,19.0,46.0,55.0,53.0,55.0,56.0,29.0,22.0,19.0,8.0,0.0,-5.0,-13.0,-26.0,-24.0,-29.0,-40.0,-45.0,-36.0,-35.0,-27.0,-17.0,-14.0,-17.0,-25.0,234.6,280.2,307.0,293.4,256.4,236.4
1,5.0,20.0,22.0,30.0,37.0,36.0,27.0,37.0,32.0,26.0,16.0,0.0,-23.0,-42.0,-51.0,-55.0,-55.0,-53.0,-46.0,-51.0,-52.0,-52.0,-51.0,-50.0,-45.0,138.6,161.4,193.0,173.0,121.0,71.0
2,-7.0,-6.0,-4.0,-2.0,1.0,4.0,12.0,32.0,48.0,63.0,76.0,82.0,78.0,74.0,59.0,46.0,32.0,7.0,-6.0,-2.0,0.0,6.0,16.0,18.0,14.0,82.4,78.8,110.6,184.4,199.8,210.6
3,-12.0,-12.0,-9.0,-14.0,-18.0,-17.0,-17.0,-18.0,-17.0,-7.0,5.0,25.0,40.0,51.0,53.0,53.0,41.0,33.0,30.0,30.0,30.0,32.0,34.0,25.0,20.0,150.6,137.6,122.4,157.2,194.6,222.8
4,5.0,5.0,6.0,12.0,21.0,31.0,34.0,39.0,38.0,36.0,29.0,24.0,16.0,11.0,7.0,6.0,5.0,8.0,9.0,7.0,6.0,6.0,6.0,11.0,18.0,99.0,108.8,144.4,161.8,168.8,178.2
5,-14.0,-25.0,-29.0,-29.0,-35.0,-41.0,-23.0,-10.0,12.0,46.0,51.0,42.0,32.0,19.0,6.0,7.0,5.0,2.0,-8.0,-28.0,-41.0,-46.0,-47.0,-46.0,-41.0,183.4,157.0,153.8,183.8,179.4,135.2
6,5.0,8.0,8.0,8.0,8.0,5.0,14.0,33.0,47.0,64.0,77.0,81.0,76.0,67.0,58.0,49.0,42.0,34.0,33.0,31.0,26.0,22.0,19.0,12.0,4.0,91.0,98.4,131.0,202.8,240.6,257.2
7,24.0,28.0,26.0,15.0,6.0,0.0,-8.0,-12.0,-5.0,5.0,28.0,39.0,50.0,58.0,61.0,49.0,51.0,55.0,49.0,45.0,44.0,43.0,34.0,42.0,41.0,137.6,157.4,153.4,200.6,250.4,291.2
8,-1.0,-6.0,-5.0,-3.0,6.0,30.0,43.0,49.0,49.0,37.0,10.0,-5.0,-13.0,-15.0,-13.0,-13.0,-10.0,-7.0,-5.0,1.0,8.0,11.0,13.0,13.0,10.0,96.6,94.8,136.4,129.2,122.4,133.4
9,-1.0,1.0,1.0,1.0,-1.0,-5.0,-3.0,7.0,25.0,44.0,56.0,64.0,63.0,49.0,38.0,31.0,14.0,7.0,12.0,4.0,1.0,4.0,-4.0,-15.0,-10.0,119.2,119.4,133.0,187.0,200.6,195.8
10,11.0,7.0,2.0,0.0,-18.0,-49.0,-62.0,-72.0,-68.0,-61.0,-51.0,-51.0,-52.0,-65.0,-69.0,-63.0,-58.0,-54.0,-51.0,-50.0,-52.0,-55.0,-51.0,-50.0,-47.0,329.2,329.6,267.2,209.6,154.4,103.4
11,24.0,26.0,23.0,16.0,18.0,34.0,50.0,55.0,64.0,72.0,65.0,59.0,67.0,60.0,48.0,34.0,12.0,-2.0,-3.0,3.0,25.0,41.0,44.0,60.0,53.0,125.6,147.0,202.0,261.8,270.6,315.2
12,41.0,45.0,42.0,46.0,47.0,51.0,42.0,39.0,16.0,-4.0,-23.0,-28.0,-29.0,-18.0,-8.0,-4.0,-3.0,-1.0,-6.0,-9.0,-5.0,0.0,4.0,12.0,14.0,120.6,164.8,193.6,172.4,167.8,172.8
13,0.0,14.0,14.0,12.0,8.0,0.0,-11.0,-1.0,23.0,37.0,49.0,44.0,28.0,10.0,8.0,-1.0,1.0,11.0,14.0,16.0,30.0,26.0,20.0,7.0,-17.0,140.6,150.2,159.8,187.6,195.8,209.0
14,-10.0,-13.0,-18.0,-18.0,-18.0,-6.0,6.0,28.0,51.0,73.0,86.0,81.0,74.0,65.0,46.0,34.0,28.0,8.0,-10.0,-24.0,-39.0,-41.0,-32.0,-23.0,-4.0,119.8,104.4,134.8,205.2,212.4,184.6
15,-9.0,4.0,10.0,7.0,-1.0,-11.0,-23.0,-29.0,-27.0,-19.0,-6.0,13.0,36.0,46.0,48.0,49.0,48.0,41.0,42.0,44.0,44.0,46.0,47.0,42.0,29.0,109.6,111.8,90.0,117.4,162.2,203.8
16,-14.0,-21.0,-18.0,-16.0,-13.0,-8.0,0.0,-2.0,-2.0,-8.0,-13.0,-11.0,-16.0,-20.0,-22.0,-36.0,-46.0,-47.0,-48.0,-42.0,-25.0,-18.0,-11.0,-9.0,-14.0,261.2,244.8,240.8,224.4,180.6,165.2
17,21.0,26.0,21.0,11.0,4.0,-9.0,-13.0,-8.0,13.0,39.0,56.0,61.0,70.0,67.0,55.0,50.0,52.0,52.0,44.0,45.0,39.0,39.0,28.0,29.0,11.0,130.2,146.8,151.2,213.0,261.6,290.8
18,-7.0,-7.0,-8.0,-13.0,-10.0,-7.0,0.0,11.0,33.0,55.0,67.0,77.0,69.0,69.0,62.0,52.0,37.0,37.0,24.0,13.0,19.0,13.0,4.0,-12.0,-32.0,125.8,116.8,135.2,204.0,236.6,235.0
19,-2.0,-7.0,-34.0,-35.0,-40.0,-31.0,-21.0,3.0,4.0,7.0,9.0,19.0,33.0,32.0,35.0,29.0,14.0,7.0,24.0,32.0,43.0,61.0,60.0,36.0,20.0,156.4,132.8,125.2,150.8,172.0,216.0
20,5.5,85.5,103.5,100.0,96.5,90.5,6.0,-30.0,-48.0,-59.0,-54.0,-36.0,-19.0,-5.0,-2.0,-9.0,-14.0,-11.0,-4.0,5.0,15.0,17.0,12.0,4.0,-1.0,228.5,306.7,298.6,275.4,268.8,278.2
21,13.0,26.0,18.0,2.0,-6.0,-13.0,-48.0,-51.5,-58.5,-66.5,-71.5,-26.5,-13.5,-0.5,4.0,0.5,-6.5,-12.0,60.0,83.5,93.0,99.0,96.0,6.0,-30.0,300.6,311.2,263.7,242.1,267.2,320.0
22,-36.0,-22.0,-2.0,12.0,19.0,28.0,34.0,25.0,15.0,8.0,-5.0,-17.0,-8.0,4.0,10.0,10.0,1.0,-13.0,-20.0,-15.0,-4.0,4.0,11.0,11.0,7.0,195.8,190.0,212.0,208.8,201.4,207.2
23,11.0,8.0,-4.0,-6.0,-8.0,-18.0,-13.0,-4.0,2.0,22.0,30.0,37.0,53.0,56.0,40.0,34.0,15.0,-15.0,-42.0,-46.0,-47.0,-28.0,-2.0,29.0,33.0,183.8,184.0,181.8,225.0,214.2,211.2
24,-15.0,4.0,8.0,1.0,-6.0,-4.0,10.0,28.0,40.0,49.0,52.0,45.0,36.0,34.0,29.0,29.0,29.0,32.0,35.0,26.0,18.0,9.0,-3.0,-15.0,-12.0,135.2,133.6,158.2,197.4,227.6,227.0
25,-10.0,-20.0,-17.0,-15.0,-11.0,-2.0,9.0,36.0,60.0,74.0,87.0,96.0,88.0,81.0,65.0,49.0,35.0,30.0,19.0,23.0,20.0,13.0,-4.0,-8.0,1.0,90.4,75.8,111.2,194.6,225.8,230.2
26,2.0,26.0,25.0,20.0,20.0,19.0,-17.0,-41.0,-41.0,-39.0,-42.0,-42.0,-32.0,-29.0,-19.0,-8.0,-3.0,-11.0,-19.0,-37.0,-36.0,-29.0,-24.0,-14.0,-6.0,303.8,322.4,298.6,265.8,250.2,228.4
27,1.0,-45.5,-51.25,-42.25,-30.5,-20.0,32.0,33.0,20.0,5.0,-6.0,-12.0,-15.0,-12.0,-5.0,6.0,-1.0,-6.0,-6.0,-1.0,4.0,13.0,29.0,29.0,18.0,316.5,282.8,296.8,286.8,285.2,303.8
28,0.0,-42.333333333333314,-52.5,-63.5,-58.0,-48.0,0.3333333333333144,12.0,32.0,33.0,20.0,5.0,-6.0,-12.0,-15.0,-12.0,-5.0,6.0,-1.0,-6.0,-6.0,-1.0,4.0,13.0,29.0,329.2,285.93333333333334,291.8,290.2,286.6,294.4
29,-1.0,-39.166666666666686,-53.75,-65.75,-71.0,-74.0,-44.833333333333314,-37.0,-28.0,-25.5,-28.0,-21.5,-19.5,-14.0,-7.0,5.0,11.0,17.0,15.0,10.5,25.0,25.0,28.5,35.0,42.5,341.9,295.76666666666665,253.9,235.9,247.6,278.8
33,-2.0,-36.0,-55.0,-68.0,-84.0,-100.0,-90.0,-86.0,-88.0,-84.0,-76.0,-48.0,-33.0,-16.0,1.0,22.0,27.0,28.0,31.0,27.0,15.0,10.0,12.0,5.0,4.0,354.6,305.6,216.0,181.6,208.6,217.8
34,31.0,46.0,49.0,44.0,24.0,13.0,0.0,-12.0,-21.0,-31.0,-48.0,-44.0,-34.0,-26.0,-15.0,4.0,-2.0,-36.0,-55.0,-68.0,-84.0,-100.0,-90.0,-86.0,-88.0,358.6,397.4,387.2,353.8,322.4,232.8
35,-2.0,-4.0,-5.0,-5.0,-3.0,-8.0,-16.0,-25.0,-29.0,-31.0,-14.0,13.0,26.0,28.0,22.0,9.0,-3.0,13.0,38.0,65.0,82.0,92.0,87.0,76.0,67.0,102.6,98.8,77.0,92.0,116.4,197.2
36,19.0,22.0,20.0,11.0,-10.0,-46.0,-54.0,-52.0,-39.0,-12.0,29.0,45.0,47.0,50.0,49.0,42.0,40.0,49.0,52.0,56.0,57.0,58.0,57.0,49.0,48.0,115.2,127.6,87.0,131.0,178.8,232.6
37,-3.0,7.0,8.0,5.0,2.0,-6.0,-17.0,-21.0,-20.0,-18.0,-12.0,-10.0,-9.0,-11.0,-9.0,-7.0,-5.0,-3.0,-3.0,-9.0,-14.0,-17.0,-18.0,-15.0,-12.0,191.2,195.0,178.6,168.4,163.0,147.8
38,2.0,1.0,2.0,1.0,-4.0,-19.0,-31.0,-29.0,-20.0,-2.0,28.0,50.0,59.0,62.0,58.0,52.0,50.0,50.0,44.0,39.0,35.0,32.0,27.0,26.0,22.0,127.0,127.4,107.2,158.6,205.6,234.0
39,-9.0,-5.0,0.0,2.0,6.0,12.0,26.0,52.0,65.0,63.0,64.0,55.0,43.0,44.0,49.0,43.0,33.0,9.0,-15.0,-35.0,-45.0,-50.0,-49.0,-48.0,-40.0,130.6,129.4,173.0,224.0,231.0,184.6
40,18.0,19.0,17.0,10.0,-2.0,-23.0,-36.0,-33.0,-19.0,4.0,36.0,56.0,60.0,55.0,48.0,38.0,36.0,39.0,45.0,47.0,46.0,48.0,48.0,48.0,49.0,148.6,161.0,139.6,190.6,231.6,279.4
41,0.0,-1.0,-13.0,-15.0,-18.0,-18.0,-11.0,2.0,4.0,-3.0,-23.0,-41.0,-55.0,-67.0,-73.0,-63.0,-59.0,-53.0,-44.0,-33.0,-28.0,-19.0,-9.0,1.0,12.0,191.8,182.4,177.2,125.4,75.0,66.4
42,-8.0,-8.0,-12.0,-22.0,-29.0,-33.0,-38.0,-43.0,-42.0,-43.0,-50.0,-50.0,-49.0,-47.0,-43.0,-38.0,-38.0,-39.0,-38.0,-41.0,-39.0,-32.0,-22.0,-17.0,-10.0,347.8,332.0,292.2,244.4,205.6,181.6
43,59.0,52.0,49.0,49.0,55.0,60.0,61.0,54.0,39.0,27.0,14.0,2.0,-1.0,-4.0,-8.0,-8.0,-12.0,-22.0,-29.0,-33.0,-38.0,-43.0,-42.0,-43.0,-50.0,244.6,297.4,345.6,346.2,325.4,282.2
44,-2.0,12.0,18.0,19.0,19.0,15.0,-1.0,-6.0,0.0,18.0,41.0,51.0,61.0,66.0,51.0,36.0,33.0,22.0,12.0,9.0,-1.0,-8.0,-9.0,-13.0,-21.0,157.8,171.0,176.2,230.2,252.6,242.2
45,3.0,1.0,-1.0,-2.0,-3.0,-3.0,0.0,5.0,14.0,27.0,30.0,27.0,20.0,7.0,-8.0,-9.0,-6.0,-3.0,0.0,2.0,0.0,-1.0,6.0,18.0,27.0,149.2,148.8,157.4,172.6,169.4,179.4
46,4.0,9.0,11.0,12.0,11.0,10.0,8.0,16.0,40.0,63.0,75.0,87.0,88.0,73.0,58.0,54.0,42.0,33.0,25.0,11.0,-3.0,-12.0,-23.0,-37.0,-37.0,123.8,133.2,160.6,236.8,269.8,247.4
47,13.0,15.0,13.0,8.0,-1.0,-11.0,-21.0,-19.0,-8.0,15.0,38.0,54.0,57.0,58.0,50.0,43.0,40.0,35.0,29.0,24.0,17.0,16.0,19.0,18.0,16.0,167.6,177.2,168.4,219.8,254.0,271.2
48,18.0,6.0,-8.0,-25.0,-33.0,-37.0,-30.0,-20.0,-3.0,4.0,9.0,9.0,6.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,2.0,0.0,-2.0,-5.0,-5.0,205.2,196.8,179.6,185.6,189.6,187.6
49,3.0,4.0,3.0,0.0,-3.0,-1.0,4.0,15.0,30.0,45.0,55.0,63.0,63.0,59.0,51.0,42.0,32.0,25.0,23.0,23.0,26.0,27.0,27.0,15.0,2.0,100.0,101.4,120.0,178.2,207.2,226.6
50,2.0,-6.0,-2.0,-1.0,0.0,-2.0,6.0,10.0,30.0,51.0,66.0,77.0,84.0,76.0,62.0,46.0,39.0,26.0,14.0,8.0,9.0,5.0,10.0,18.0,13.0,94.2,92.8,111.8,184.8,211.4,222.4
0,3.0,9.0,8.0,9.0,5.0,11.0,9.0,8.0,5.0,5.0,2.0,0.0,6.0,9.0,18.0,20.0,26.0,22.0,11.0,2.0,-8.0,-13.0,-20.0,-23.0,-34.0,150.8,157.6,165.2,172.2,188.4,168.8
1,-37.0,-39.0,-28.0,-14.0,-5.0,-4.0,12.0,20.0,27.0,44.0,53.0,62.0,68.0,52.0,33.0,12.0,-10.0,-31.0,-38.0,-43.0,-29.0,-19.0,-6.0,6.0,29.5,69.8,45.2,65.0,118.6,96.6,92.9
2,10.0,34.0,39.0,29.0,25.0,24.0,-2.0,-26.0,-46.0,-59.0,-83.0,-86.0,-77.0,-57.0,-42.0,-23.0,-31.0,-47.0,-62.0,-75.0,-78.0,-62.0,-50.0,-43.0,-42.0,253.2,280.6,258.8,189.8,142.2,87.2
3,26.0,22.0,27.0,16.0,9.0,6.0,16.0,33.0,51.0,46.0,44.0,35.0,8.0,-5.0,-11.0,-13.0,-4.0,5.0,0.0,-5.0,20.0,25.0,27.0,28.0,15.0,108.0,128.0,158.4,172.6,169.2,192.2
4,21.5,2.0,10.666666666666657,9.333333333333343,-9.25,-25.25,-19.0,-39.0,-40.0,-37.0,-24.0,0.0,26.0,22.0,27.0,16.0,9.0,6.0,16.0,33.0,51.0,46.0,44.0,35.0,8.0,138.0,144.85,112.8,123.0,139.0,175.8
5,17.0,-6.666666666666657,-1.6666666666666856,-6.333333333333314,-11.5,-23.166666666666657,-19.0,-31.666666666666657,-27.0,-18.0,-13.0,3.0,17.333333333333314,10.0,3.666666666666657,1.6666666666666572,-1.0,-10.666666666666657,-3.0,3.333333333333343,-3.0,-21.333333333333343,-19.0,-39.0,-40.0,168.0,166.16666666666669,142.4,146.6,144.66666666666669,120.2
7,12.5,-15.333333333333343,-14.0,-22.0,-13.75,-21.083333333333343,-19.0,-24.333333333333343,-14.0,1.0,-1.9999999999999716,6.0,8.666666666666686,-2.0,-19.666666666666657,-12.666666666666686,-11.0,-12.333333333333343,0.5,11.166666666666657,10.0,0.3333333333333428,6.5,-7.0,-14.0,198.0,187.48333333333332,172.0,170.20000000000002,165.33333333333331,164.5
8,8.0,-4.0,-10.0,-20.0,-16.0,-19.0,-19.0,-17.0,-1.0,20.0,9.0,9.0,0.0,-14.0,-43.0,-27.0,-21.0,-14.0,4.0,19.0,23.0,22.0,32.0,25.0,12.0,217.2,208.8,201.6,193.8,186.0,208.8
9,53.0,68.0,71.0,61.0,37.0,34.0,11.0,4.0,13.0,6.0,-8.0,-2.0,-1.0,-6.0,21.0,32.0,39.0,71.0,67.0,38.0,29.0,11.0,-16.0,-12.0,-4.0,71.0,129.0,142.6,143.4,192.8,194.4
10,56.0,65.0,65.0,55.0,15.0,-5.0,-24.0,-37.0,-39.0,-27.0,-11.0,-3.0,1.0,-11.0,-22.0,-35.0,-33.0,-22.0,-8.0,-2.0,4.0,-5.0,-16.0,-20.0,-21.0,90.0,141.2,114.8,105.6,85.6,74.0
11,9.0,23.0,41.0,66.0,68.0,62.0,46.0,21.0,-11.0,-25.0,-26.0,-18.0,-5.0,12.0,32.0,40.0,43.0,42.0,35.0,29.0,17.0,2.0,-22.0,-48.0,-63.0,60.8,102.2,120.8,119.8,157.6,134.8
12,10.0,6.0,-6.0,-12.0,-12.0,-8.0,-2.0,17.0,31.0,22.0,16.0,10.0,4.0,21.0,29.0,54.0,88.0,80.0,38.0,33.0,11.0,-26.0,-22.0,-4.0,8.0,154.6,151.8,163.8,179.8,238.4,231.8
13,10.0,4.0,4.0,7.0,11.0,8.0,0.0,-14.0,-32.0,-43.0,-45.0,-36.0,-16.0,0.0,3.0,6.0,4.0,1.0,1.0,4.0,3.0,-2.0,-8.0,-16.5,-9.0,190.8,198.0,181.8,163.0,166.2,159.7
14,-37.0,-44.0,-46.0,-41.0,-28.0,-25.0,-22.0,-11.0,-3.0,-3.0,-4.0,-4.0,-10.0,-13.0,-14.0,-19.0,-25.0,-37.0,-48.0,-55.0,-57.0,-53.0,-43.0,-33.0,-19.0,216.6,177.4,164.6,155.6,118.8,77.8
15,73.0,72.0,55.0,56.0,56.0,75.0,63.0,64.0,56.0,64.0,59.0,68.0,70.0,65.0,55.0,42.0,19.0,-4.0,-25.0,-37.0,-229.5,-217.0,-194.0,-32.0,-32.0,88.4,150.8,215.2,278.6,277.6,136.7
16,-9.0,-7.0,-10.0,-18.0,-41.0,-57.0,-83.0,-98.0,-155.0,-164.0,-167.0,-163.0,-159.0,-110.0,-93.0,-81.0,-74.0,-59.0,-42.0,-27.0,-8.0,26.0,53.0,74.0,79.0,367.0,350.0,238.6,100.2,43.6,88.4
17,83.0,89.0,80.0,66.0,34.0,31.0,27.0,35.0,39.0,39.0,23.0,21.0,16.0,16.0,14.0,16.0,11.0,9.0,21.0,33.0,33.0,37.0,30.0,12.0,-1.0,218.8,289.2,323.4,341.4,359.4,381.6
18,-16.0,1.0,33.0,53.0,99.0,103.0,106.0,95.0,107.0,83.0,89.0,80.0,66.0,34.0,31.0,27.0,35.0,39.0,39.0,23.0,21.0,16.0,16.0,14.0,16.0,102.6,136.6,235.4,295.4,328.0,344.6
19,-24.0,-28.0,-32.0,-26.0,-23.0,-16.0,1.0,33.0,53.0,99.0,103.0,106.0,95.0,107.0,83.0,89.0,80.0,66.0,34.0,31.0,27.0,35.0,39.0,39.0,23.0,129.2,102.6,136.6,235.4,295.4,328.0
20,-12.0,-4.0,13.0,42.0,66.0,74.0,75.0,69.0,52.0,42.0,27.0,14.0,2.0,-9.0,-18.0,-7.0,3.0,9.0,7.0,-3.0,-18.0,-30.0,-38.0,-45.0,-44.0,130.4,151.4,213.8,217.0,218.8,183.8
21,9.0,20.0,36.0,42.0,42.0,37.0,42.0,27.0,13.0,1.0,-9.0,-16.0,-7.0,20.0,38.0,45.0,31.5,25.5,34.0,30.0,26.0,33.5,28.5,3.0,-2.0,103.2,133.0,157.0,162.2,195.4,213.2
22,-29.0,-13.0,-7.0,8.0,25.0,47.0,65.0,77.0,72.0,59.0,18.0,-15.0,-46.0,-60.0,-71.0,-59.0,-45.0,-26.0,-15.0,-15.0,-27.0,-42.0,-50.0,-53.0,-47.0,143.2,140.0,204.0,169.2,137.2,93.4
23,-29.0,-39.0,-38.0,-35.0,-27.0,-6.0,-16.0,-30.0,-34.0,-42.0,-48.0,-38.0,-32.0,-43.0,-38.0,-21.0,-11.0,-6.0,-8.0,-23.0,-41.0,-56.0,-63.0,-49.0,-40.0,374.6,341.0,315.4,275.6,261.8,212.0
24,-29.0,-39.0,-38.0,-35.0,-27.0,-6.0,-16.0,-30.0,-34.0,-42.0,-48.0,-38.0,-32.0,-43.0,-38.0,-21.0,-11.0,-6.0,-8.0,-23.0,-41.0,-56.0,-63.0,-49.0,-40.0,374.6,341.0,315.4,275.6,261.8,212.0
25,140.0,135.0,139.0,129.0,108.0,87.0,88.0,59.0,39.0,31.0,14.0,3.0,-1.0,-29.0,-39.0,-38.0,-35.0,-27.0,-6.0,-16.0,-30.0,-34.0,-42.0,-48.0,-38.0,180.4,310.6,371.4,361.0,336.6,298.2
26,14.0,34.0,53.0,77.0,105.0,122.0,140.0,135.0,139.0,129.0,108.0,87.0,88.0,59.0,39.0,31.0,14.0,3.0,-1.0,-29.0,-39.0,-38.0,-35.0,-27.0,-6.0,99.4,156.0,289.0,365.2,368.8,339.8
27,-2.0,2.0,9.0,22.0,26.0,32.0,30.0,23.0,14.0,14.0,11.0,15.0,18.0,15.0,14.0,6.0,3.0,7.0,11.0,9.0,18.0,20.0,19.0,22.0,25.0,91.6,103.0,125.6,140.2,147.4,168.2
28,1.0,-4.5,-8.0,-7.5,-15.0,9.0,39.0,63.0,72.0,78.0,72.0,53.0,36.0,18.0,0.0,-16.0,-30.0,-46.0,-51.0,-51.0,-50.0,-40.0,-26.0,-15.0,-8.0,77.0,70.2,122.4,158.2,119.4,91.6
29,16.0,47.0,71.0,87.0,104.0,98.0,80.0,72.0,50.0,23.0,11.0,-4.0,-29.0,-39.0,-46.0,-55.0,-63.0,-59.0,-54.0,-55.0,-54.0,-44.0,-42.0,-45.0,-32.0,58.4,123.4,188.0,166.6,109.4,66.0
30,95.0,69.0,31.0,16.0,-4.0,-20.0,-27.0,-27.0,-28.0,-31.0,-39.0,-52.0,-61.0,-64.0,-61.0,-55.0,-41.0,-35.0,-34.0,-35.0,-33.0,-32.0,-27.0,-26.0,-30.0,228.6,270.0,243.4,188.0,148.0,118.4
31,73.0,53.0,53.0,59.0,62.0,71.0,68.0,48.0,16.0,-18.0,-53.0,-67.0,-65.0,-61.0,-59.0,-40.0,-40.0,-43.0,-30.0,-13.0,-14.0,-18.0,-20.0,-31.0,-37.0,225.4,285.4,322.4,261.4,228.2,204.2
32,-3.0,11.0,44.0,61.0,65.0,54.0,28.0,-14.0,-42.0,-56.0,-24.0,2.0,-2.0,5.0,12.0,-4.0,-14.0,0.0,7.0,3.0,-18.0,-31.0,-37.0,-41.0,-41.0,200.2,235.8,229.8,228.4,226.8,193.2
33,39.0,38.0,39.0,36.0,24.0,27.0,26.0,20.0,8.0,-16.0,-31.0,-41.0,-31.0,-17.0,3.0,12.0,12.0,2.0,-3.0,-4.0,-1.0,1.0,0.0,-5.0,-12.0,212.4,247.6,260.6,237.2,241.0,237.6
